Date : 2026-06-09 16:08:07
Directory : c:\Users\Asus\Documents\Digi_API\app
Total : 68 files,  3795 codes, 1184 comments, 959 blanks, all 5938 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Python   |         59 |      2,651 |      1,148 |        794 |      4,593 |
| c:\Users\Asus\Documents\Digi_API\app\observability\logging.py               | Python   |         76 |         34 |         20 |        130 |
| c:\Users\Asus\Documents\Digi_API\app\observability\metrics.py               | Python   |         78 |         26 |         21 |        125 |
| c:\Users\Asus\Documents\Digi_API\app\observability\tracing.py               | Python   |         29 |         35 |         14 |         78 |
| c:\Users\Asus\Documents\Digi_API\app\repositories\__init__.py               | Python   |          4 |          1 |          3 |          8 |
| c:\Users\Asus\Documents\Digi_API\app\repositories\audit.py                  | Python   |         30 |         19 |          8 |         57 |
| c:\Users\Asus\Documents\Digi_API\app\repositories\verification.py           | Python   |         24 |         31 |         10 |         65 |
| c:\Users\Asus\Documents\Digi_API\app\repositories\verification_result.py    | Python   |         43 |         35 |         10 |         88 |
| c:\Users\Asus\Documents\Digi_API\app\schemas\__init__.py                    | Python   |          0 |          1 |          1 |          2 |
| c:\Users\Asus\Documents\Digi_API\app\schemas\callback.py                    | Python   |          6 |          2 |          6 |         14 |
| c:\Users\Asus\Documents\Digi_API\app\schemas\errors.py                      | Python   |          9 |          3 |          8 |         20 |
| c:\Users\Asus\Documents\Digi_API\app\schemas\health.py                      | Python   |          6 |          3 |          8 |         17 |
| c:\Users\Asus\Documents\Digi_API\app\schemas\provider.py                    | Python   |         16 |         10 |          9 |         35 |
| c:\Users\Asus\Documents\Digi_API\app\schemas\verification.py                | Python   |         15 |          4 |         13 |         32 |
| c:\Users\Asus\Documents\Digi_API\app\security\__init__.py                   | Python   |          0 |          1 |          1 |          2 |
| c:\Users\Asus\Documents\Digi_API\app\security\hashing.py                    | Python   |         16 |         41 |          8 |         65 |
| c:\Users\Asus\Documents\Digi_API\app\security\jwt_utils.py                  | Python   |          0 |         10 |          1 |         11 |
| c:\Users\Asus\Documents\Digi_API\app\security\pkce.py                       | Python   |         10 |         22 |          8 |         40 |
| c:\Users\Asus\Documents\Digi_API\app\security\rate_limit.py                 | Python   |         62 |         27 |         17 |        106 |
| c:\Users\Asus\Documents\Digi_API\app\security\state.py                      | Python   |          6 |         14 |          8 |         28 |
| c:\Users\Asus\Documents\Digi_API\app\services\__init__.py                   | Python   |          0 |          1 |          1 |          2 |
| c:\Users\Asus\Documents\Digi_API\app\services\jwks.py                       | Python   |         60 |         31 |         18 |        109 |
| c:\Users\Asus\Documents\Digi_API\app\services\oauth.py                      | Python   |         27 |         28 |         10 |         65 |
| c:\Users\Asus\Documents\Digi_API\app\services\token.py                      | Python   |         50 |         34 |         17 |        101 |
| c:\Users\Asus\Documents\Digi_API\app\services\verification.py               | Python   |        426 |        125 |         64 |        615 |
| c:\Users\Asus\Documents\Digi_API\app\static\css\style.css                   | PostCSS  |        485 |         16 |         87 |        588 |
| c:\Users\Asus\Documents\Digi_API\app\templates\architecture.html            | HTML     |         93 |          0 |          9 |        102 |
| c:\Users\Asus\Documents\Digi_API\app\templates\base.html                    | HTML     |         34 |          4 |          4 |         42 |
| c:\Users\Asus\Documents\Digi_API\app\templates\dashboard.html               | HTML     |         79 |          3 |         12 |         94 |
| c:\Users\Asus\Documents\Digi_API\app\templates\home.html                    | HTML     |         58 |          0 |          8 |         66 |
| c:\Users\Asus\Documents\Digi_API\app\templates\mock_provider.html           | HTML     |         82 |          8 |         12 |        102 |
| c:\Users\Asus\Documents\Digi_API\app\templates\result.html                  | HTML     |        133 |          3 |         12 |        148 |
| c:\Users\Asus\Documents\Digi_API\app\templates\start.html                   | HTML     |         45 |          0 |          8 |         53 |
| c:\Users\Asus\Documents\Digi_API\app\templates\timeline.html                | HTML     |        135 |          2 |         13 |        150 |
| c:\Users\Asus\Documents\Digi_API\app\ui\router.py                           | Python   |        234 |         30 |         42 |        306 |
| Total                                                                       |          |      3,795 |      1,184 |        959 |      5,938 |
+-----------------------------------------------------------------------------+----------+------------+------------+------------+------------+
