"filename", "language", "Python", "HTML", "PostCSS", "comment", "blank", "total"
"c:\Users\Asus\Documents\Digi_API\app\static\css\style.css", "PostCSS", 0, 0, 485, 16, 87, 588
"c:\Users\Asus\Documents\Digi_API\app\templates\architecture.html", "HTML", 0, 93, 0, 0, 9, 102
"c:\Users\Asus\Documents\Digi_API\app\templates\base.html", "HTML", 0, 34, 0, 4, 4, 42
"c:\Users\Asus\Documents\Digi_API\app\templates\dashboard.html", "HTML", 0, 79, 0, 3, 12, 94
"c:\Users\Asus\Documents\Digi_API\app\templates\home.html", "HTML", 0, 58, 0, 0, 8, 66
"c:\Users\Asus\Documents\Digi_API\app\templates\mock_provider.html", "HTML", 0, 82, 0, 8, 12, 102
"c:\Users\Asus\Documents\Digi_API\app\templates\result.html", "HTML", 0, 133, 0, 3, 12, 148
"c:\Users\Asus\Documents\Digi_API\app\templates\start.html", "HTML", 0, 45, 0, 0, 8, 53
"c:\Users\Asus\Documents\Digi_API\app\templates\timeline.html", "HTML", 0, 135, 0, 2, 13, 150
"c:\Users\Asus\Documents\Digi_API\app\ui\router.py", "Python", 234, 0, 0, 30, 42, 306
"Total", "-", 2651, 659, 485, 1184, 959, 5938
