"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\Asus\Documents\Digi_API\migrations\env.py", "Python", 46, 17, 23, 86
"c:\Users\Asus\Documents\Digi_API\migrations\versions\7367709f81cc_create_initial_tables.py", "Python", 69, 14, 8, 91
"Total", "-", 115, 31, 31, 177
